Ticker,Date/Time,Close P,Ty le tang trong ngay,Do bien KL,MA_status,Price/BBandTop,Gia mua,Gia_co_ban,profit_loss,Price/BBandTopWkl,Pricevsbbband,PricevsMA,pricevsFib,Mo_hinh_nen
HDB,4/1/2020,18.95,0.0646,-0.5986,0.00,-0.1933,17.80,0.00,-1.0000,-0.4335,0,0,5,
HCM,4/1/2020,11.90,0.0673,-0.0154,0.00,-0.2035,11.90,11.90,0.0000,-0.5194,0,0,0,
GIL,4/1/2020,15.30,0.0373,-0.8204,0.00,-0.1277,17.50,0.00,-1.0000,-0.2753,0,0,0,
GMD,4/1/2020,14.95,0.0000,-0.4356,0.00,-0.1305,14.95,0.00,-1.0000,-0.3894,0,0,0,
HDG,4/1/2020,16.95,0.0335,-0.6665,0.00,-0.2005,16.95,16.95,0.0000,-0.5219,0,0,0,
HVN,4/1/2020,18.50,0.0393,0.3162,0.00,-0.1501,18.50,18.50,0.0000,-0.5088,0,0,0,
HSG,4/1/2020,4.86,0.0681,0.0347,0.00,-0.2625,4.86,4.86,0.0000,-0.5087,0,0,0,
HPG,4/1/2020,17.25,0.0237,-0.4845,0.00,-0.1506,16.35,0.00,-1.0000,-0.3883,0,0,5,
IDI,4/1/2020,2.90,0.0175,-0.0232,0.00,-0.3157,2.90,2.90,0.0000,-0.4891,1,0,0,Piercing_pattern
HT1,4/1/2020,10.60,0.0600,-0.1280,0.00,-0.1873,10.60,10.60,0.0000,-0.3645,0,0,0,
IMP,4/1/2020,43.05,0.0153,-0.8649,0.00,-0.2534,47.40,0.00,-1.0000,-0.3261,0,0,0,
KBC,4/1/2020,11.75,0.0586,-0.4865,0.00,-0.0704,11.15,0.00,-1.0000,-0.3194,0,0,5,
KDC,4/1/2020,15.00,0.0417,0.3053,0.00,-0.1317,15.00,15.00,0.0000,-0.2835,0,0,0,
KDH,4/1/2020,18.40,-0.0054,-0.0962,0.00,-0.1611,19.35,0.00,-1.0000,-0.3670,0,0,0,
LDG,4/1/2020,4.16,0.0024,4.4315,0.00,-0.4143,6.23,0.00,-1.0000,-0.5502,1,0,0,
LAS,4/1/2020,5.00,0.0000,0.9892,0.00,-0.1305,5.40,0.00,-1.0000,-0.2428,0,0,0,
LCG,4/1/2020,3.95,0.0676,-0.1296,0.00,-0.3195,3.95,3.95,0.0000,-0.5635,0,0,0,
MBS,4/1/2020,9.00,0.0714,-0.4216,0.00,-0.0558,8.40,0.00,-1.0000,-0.3889,0,0,5,
KSB,4/1/2020,12.35,0.0123,-0.4850,0.00,-0.2614,16.30,0.00,-1.0000,-0.4071,0,0,0,
MBB,4/1/2020,14.25,0.0517,-0.0859,0.00,-0.1976,14.25,14.25,0.0000,-0.4321,0,0,0,
MCH,4/1/2020,58.50,0.0263,0.3322,0.00,-0.0257,58.00,0.00,-1.0000,-0.2369,0,0,0,
MPC,4/1/2020,18.00,0.0169,-0.7258,0.00,-0.1286,17.89,0.00,-1.0000,-0.2158,0,0,0,
MWG,4/1/2020,61.20,0.0390,0.0835,0.00,-0.2882,61.20,61.20,0.0000,-0.5588,0,0,0,
MSN,4/1/2020,49.20,0.0041,-0.4235,0.00,-0.0133,50.00,0.00,-1.0000,-0.1566,3,0,0,
NVL,4/1/2020,51.80,-0.0019,-0.2664,0.00,-0.0217,54.10,0.00,-1.0000,-0.1058,0,0,3,/ndoji_standard
NKG,4/1/2020,4.62,0.0500,-0.0898,0.00,-0.3138,5.62,0.00,-1.0000,-0.5689,0,0,0,
OIL,4/1/2020,6.10,0.0167,-0.2590,0.00,-0.0798,7.00,0.00,-1.0000,-0.2858,1,0,5,
NLG,4/1/2020,20.80,0.0400,-0.0751,0.00,-0.1083,26.85,0.00,-1.0000,-0.3131,0,0,5,
NNC,4/1/2020,41.30,-0.0236,0.8293,0.00,-0.1248,34.60,0.00,-1.0000,-0.2083,0,0,0,
PLX,4/1/2020,38.90,0.0658,0.1426,1.00,-0.0286,34.94,0.00,-1.0000,-0.3598,0,0,5,
POW,4/1/2020,7.36,0.0381,-0.2224,0.00,-0.2097,7.36,7.36,0.0000,-0.4189,0,0,0,
PAC,4/1/2020,16.70,-0.0176,1.0128,0.00,-0.2534,19.40,0.00,-1.0000,-0.3962,0,0,0,
OPC,4/1/2020,47.50,-0.0404,-0.9411,5.00,-0.0354,41.63,0.00,-1.0000,-0.0079,0,0,0,
PNJ,4/1/2020,48.60,0.0588,-0.3474,0.00,-0.2161,48.60,48.60,0.0000,-0.5293,0,0,0,
PDR,4/1/2020,24.90,0.0000,0.1883,0.00,-0.0270,7.28,0.00,-1.0000,-0.0688,1,0,3,/ndoji_standard
PVD,4/1/2020,7.05,0.0444,-0.2049,0.00,-0.2897,8.46,0.00,-1.0000,-0.6028,0,0,0,
PVI,4/1/2020,28.30,0.0404,-0.2114,0.00,-0.0631,26.80,0.00,-1.0000,-0.1629,0,0,3,
QNS,4/1/2020,23.20,0.0357,-0.3545,0.00,-0.0588,20.90,0.00,-1.0000,-0.2109,0,0,4,
PVS,4/1/2020,9.40,0.0444,-0.1980,0.00,-0.1904,9.40,9.40,0.0000,-0.5574,0,0,0,
SAB,4/1/2020,123.10,0.0008,-0.4431,0.00,-0.1827,120.00,0.00,-1.0000,-0.5282,0,0,0,
PVT,4/1/2020,8.09,0.0306,-0.5359,0.00,-0.1588,8.13,0.00,-1.0000,-0.5644,0,0,0,
SBT,4/1/2020,12.70,0.0000,-0.3510,0.00,-0.2465,16.10,0.00,-1.0000,-0.4590,0,0,0,/ndoji_standard
SCR,4/1/2020,3.80,0.0585,-0.4426,0.00,-0.1497,3.80,3.80,0.0000,-0.4009,0,0,0,Piercing_pattern
REE,4/1/2020,28.30,0.0366,-0.5125,0.00,-0.0704,28.20,0.00,-1.0000,-0.2365,0,0,5,
SHB,4/1/2020,12.90,0.0574,-0.7495,5.00,-0.0104,5.18,0.00,-1.0000,-0.0835,0,0,0,
SHS,4/1/2020,6.10,0.0702,-0.2789,0.00,-0.1477,6.10,6.10,0.0000,-0.2813,1,0,0,
SLS,4/1/2020,41.50,0.0122,-0.5741,1.00,-0.1078,34.03,0.00,-1.0000,-0.3303,1,0,0,
SSI,4/1/2020,12.40,0.0690,0.2236,0.00,-0.1483,12.40,12.40,0.0000,-0.4155,0,0,5,
TCB,4/1/2020,15.50,0.0333,-0.5442,0.00,-0.1781,15.00,0.00,-1.0000,-0.4253,1,0,0,
STB,4/1/2020,7.81,0.0699,-0.2701,0.00,-0.2942,7.81,7.81,0.0000,-0.3875,0,0,0,
TCM,4/1/2020,11.80,0.0351,-0.4555,0.00,-0.1979,11.80,11.80,0.0000,-0.5116,0,0,0,
THG,4/1/2020,41.40,0.0122,-0.5979,1.00,-0.0471,22.31,0.00,-1.0000,-0.1128,0,0,5,
TDH,4/1/2020,6.00,0.0363,0.1697,0.00,-0.2368,6.00,6.00,0.0000,-0.5082,0,0,0,
TLG,4/1/2020,26.20,-0.0296,-0.1719,0.00,-0.2343,26.95,0.00,-1.0000,-0.4215,0,0,0,
TNG,4/1/2020,8.10,0.0519,-0.1902,0.00,-0.4539,8.10,8.10,0.0000,-0.5527,0,0,0,
TRA,4/1/2020,50.00,0.0309,-0.7039,1.00,-0.0375,47.10,0.00,-1.0000,-0.2033,0,0,3,
TV2,4/1/2020,50.20,0.0681,-0.2482,0.00,-0.2369,50.20,50.20,0.0000,-0.4481,0,0,0,
VCI,4/1/2020,14.50,0.0211,0.7499,0.00,-0.3426,18.90,0.00,-1.0000,-0.5855,0,0,0,
VCB,4/1/2020,65.00,0.0484,-0.1314,0.00,-0.1080,62.00,0.00,-1.0000,-0.3802,0,0,5,
VCG,4/1/2020,24.60,0.0041,-0.3398,0.00,-0.0224,15.71,0.00,-1.0000,-0.0738,0,0,3,
VC3,4/1/2020,15.70,0.0129,-0.0699,1.00,-0.0130,2.72,0.00,-1.0000,-0.0965,0,0,3,
VHM,4/1/2020,54.80,-0.0036,-0.4854,0.00,-0.2817,59.10,0.00,-1.0000,-0.4569,0,0,0,
VCS,4/1/2020,54.60,0.0302,-0.4305,0.00,-0.0532,63.10,0.00,-1.0000,-0.3121,0,0,5,
VHC,4/1/2020,21.30,0.0390,-0.6380,0.00,-0.1766,21.30,21.30,0.0000,-0.5332,0,0,0,
VJC,4/1/2020,99.20,0.0206,-0.3416,0.00,-0.0401,97.00,0.00,-1.0000,-0.3896,0,0,0,
VIC,4/1/2020,86.00,0.0312,-0.5558,0.00,-0.1119,76.50,0.00,-1.0000,-0.3338,0,0,4,
VIS,4/1/2020,22.00,0.0329,-0.9298,0.00,-0.0893,21.40,0.00,-1.0000,-0.1589,0,0,0,/ndoji_standard
VND,4/1/2020,11.10,-0.0220,-0.3552,0.00,-0.2027,11.70,0.00,-1.0000,-0.3024,0,0,0,
VPB,4/1/2020,17.25,0.0177,-0.0665,0.00,-0.2635,18.95,0.00,-1.0000,-0.4191,1,0,0,
VRE,4/1/2020,19.25,0.0052,-0.6703,0.00,-0.2258,18.90,0.00,-1.0000,-0.5068,0,0,0,
VNINDEX,4/1/2020,680.23,0.0267,-0.1043,0.00,-0.1315,680.23,680.23,0.0000,-0.3804,0,0,0,
VNM,4/1/2020,94.00,0.0330,-0.3654,0.00,-0.0766,92.00,0.00,-1.0000,-0.2615,0,0,4,
